att,subjectID,AUC,alphaC,betaC,gammaC,lambdaC,alphaA,betaA,gammaA,lambdaA,alphaR,betaR,gammaR,lambdaR
-1,1,0.0199702378326828,204.325939470336,5.74519617780289e-15,0,0.896418193173949,0.175575890009399,3.01612412532744,0.5,0.188127520574509,1163.74713782968,1.90482750015442e-15,0,4.76494980870657
-1,2,0.0598317709180879,0.0920346199490651,4.09880191255284,0,0.750290081439494,0.123874425496858,4.49048155512269,0.5,0.262541222420619,0.742967077989796,0.912775581468981,0,2.85779914682293
-1,3,0.063883943568033,69.4522469415361,1.77040721057403e-13,0,0.750461948968764,0.117556166239738,4.09372771121069,0.5,0.0727028471236404,590.800543800475,4.32468238111139e-14,0,10.3223185701725
-1,4,0.0608380490725731,0.222988039772044,24.1680989113403,0,0.699999927818073,0.396145985599423,4.26625315023646,0.5,0.271294142900857,0.562893599526529,5.66494721720881,0,2.58022499244992
-1,5,0.208327179075248,0.0853723149484456,3.40237791639084,0,0.455656118007631,0.183607015663457,3.50957232337555,0.5,0.0812424119175544,0.464973054760224,0.969456561339186,0,5.60859909563044
-1,6,0.127003431639692,0.0874527196830008,8.05807271829219,0,0.666666662609935,0.260006511092175,2.40726370788015,0.5,0.0388429567005039,0.336348191111252,3.34739924500759,0,17.1631286400318
-1,7,0.261060423493301,0.0641128211978012,8.40833205663213,0,0.322916668163587,0.179393333200492,2.66164978082944,0.5,0.0639511600186153,0.357386866356667,3.15906777713327,0,5.04942628201882
-1,8,0.224197510636392,0.301467783718754,1.3496406590483e-11,0,0.124258667735254,0.13922927869653,6.39625106345162,0.5,0.0961901954672036,2.16526140579846,2.11004953629821e-12,0,1.29180180091869
-1,9,0.141836809044599,0.161095943602071,3.11165069778631,0,0.556579333971476,0.622326727920621,1.80283852164983,0.5,0.093079524950735,0.258860717970993,1.72597304773516,0,5.97961081415125
-1,10,0.158315921997198,0.0821022677889152,4.97404229707079,0,0.583333249245362,0.256449141982758,2.16184152271586,0.5,0.0837267719507113,0.320150292389885,2.30083576654687,0,6.96710545091552
-1,11,0.00276785772382813,610.241295692505,4.79417024847805e-13,0,0.990583470006377,0.172738336738538,3.58999389936634,0.5,0.0226672445252503,3532.74963285182,1.33542573688614e-13,0,43.7010978067013
-1,12,0.219957093891431,0.0726096975902784,5.97602134474188,0,0.440972234176312,0.169367488604241,2.73029999055451,0.5,0.0605262919370991,0.428710953847493,2.18877829008386,0,7.28563108796727
-1,13,0.0589322165337393,0.130442020284724,32.2847561076822,0,0.850000080388595,0.222706588517219,5.7272078626916,0.5,0.0883364874870634,0.585712444132018,5.63708475084218,0,9.62229883221329
-1,14,0.148383243279063,1.43736417865682,1.21670060288872e-12,0,0.204275137092914,0.169634559047431,2.08329007225429,0.5,0.210865733451735,8.47329805157758,5.84028416922349e-13,0,0.968745057573188
-1,15,0.116547646985475,15.2205661190125,1.15044145773708e-13,0,0.585672667929201,0.207155080425435,2.94076582883255,0.5,0.0424827131201326,73.4742594183738,3.91204714927536e-14,0,13.7861408774208
0,1,0.0188221143600017,0.0880996730279435,89.9124599583753,0,0.934027777666262,0.155161636934031,4.95980702900391,0.5,0.0885421103805489,0.567792882111705,18.1282173747055,0,10.5489667419476
0,2,0.0534374999361373,2715.44836959706,2.26648798550616e-15,0,0.703379367816487,0.123240999482409,9.89369795546583,0.5,0.0624625445016334,22033.6444933219,2.29084008396883e-16,0,11.2608183580817
0,3,0.0385714282412909,96.297945888347,1.72162818881454e-15,0,0.849335553016286,0.107423742050248,7.72234878742645,0.5,0.0498958064241344,896.430752182352,2.2294100359954e-16,0,17.0221831028562
0,4,0.0879489133806144,0.195182563883793,4.06086690853533,0,0.45455621997486,0.250368477063468,7.68115974946492,0.5,0.130685751801174,0.779581224334065,0.528678876756627,0,3.47823855095101
0,5,0.150669656867931,17.6142460776165,1.65763900193226e-13,0,0.411466944204509,0.154052066176278,4.42534234061158,0.5,0.0143248040837682,114.339563985211,3.74578704729807e-14,0,28.7240887762474
0,6,0.0751519805053189,0.12221128195397,49.9116942355875,0,0.679442507368494,0.150033712346964,2.8584301815353,0.5,0.078642729456255,0.814558808431985,17.4612255908868,0,8.63960994317261
0,7,0.252404052245086,0.0926900596107852,3.53376894739624,0,0.179307423967978,0.12803017334637,4.11239344836355,0.5,0.0240360608078548,0.723970429689443,0.859297387705556,0,7.45993386359639
0,8,0.156696421963368,8.38591459735835,4.56754995644583e-14,0,0.387925704701616,0.123018994438398,2.39864163383821,0.5,0.0519483292595577,68.1676405797446,1.90422357888328e-14,0,7.46752995199058
0,9,0.0568969474243085,0.10492481888597,5.33772163931502,0,0.736111111635194,0.261357899392182,1.07589299072589,0.5,0.0344519392922034,0.401460293069329,4.96120123964533,0,21.366318609582
0,10,0.0916071430467797,25.1332370018981,2.45568330981275e-14,0,0.642171934610216,0.180475635859581,4.42551642432199,0.5,0.035415930409289,139.261107917376,5.5489192093304e-15,0,18.1322903899141
0,11,0.00415178614027801,629.395314582572,3.51203366071633e-16,0,0.985875206525112,0.147012408846433,2.63740882417443,0.5,2.87645252117278e-14,4281.23938326887,1.33162277631177e-16,0,34273995460323.3
0,12,0.114181257523682,0.0860372693385494,8.69761067916892,0,0.576388883653232,0.141037371896242,1.72800281963458,0.5,4.43023422655795e-13,0.610031711324323,5.03333130035528,0,1301034785470.15
0,13,0.0277232146168157,78.2651655014859,2.23477362198008e-15,0,0.891709926510267,0.158948767708721,6.45473146218321,0.5,0.0349150180152422,492.392401839247,3.46222555511891e-16,0,25.5394376746703
