site,att,subjectID,lineLength,pCorrect,pSeen
0,-1,1,1,0.4375,0.0625
0,-1,1,2,0.604166666666667,0.208333333333333
0,-1,1,3,0.645833333333333,0.270833333333333
0,-1,1,4,0.604166666666667,0.416666666666667
0,-1,1,5,0.729166666666667,0.5
0,-1,1,6,0.75,0.5625
0,-1,1,7,0.8125,0.854166666666667
0,-1,2,1,0.479166666666667,0.0833333333333333
0,-1,2,2,0.604166666666667,0.0833333333333333
0,-1,2,3,0.6875,0.145833333333333
0,-1,2,4,0.6875,0.1875
0,-1,2,5,0.770833333333333,0.3125
0,-1,2,6,0.666666666666667,0.354166666666667
0,-1,2,7,0.791666666666667,0.5625
0,-1,3,1,0.520833333333333,0.354166666666667
0,-1,3,2,0.625,0.520833333333333
0,-1,3,3,0.666666666666667,0.6875
0,-1,3,4,0.8125,0.833333333333333
0,-1,3,5,0.833333333333333,0.916666666666667
0,-1,3,6,0.9375,0.875
0,-1,3,7,0.916666666666667,0.895833333333333
0,-1,4,1,0.479166666666667,0
0,-1,4,2,0.574468085106383,0
0,-1,4,3,0.479166666666667,0.0416666666666667
0,-1,4,4,0.604166666666667,0.104166666666667
0,-1,4,5,0.625,0.0208333333333333
0,-1,4,6,0.666666666666667,0.125
0,-1,4,7,0.729166666666667,0.25
0,-1,5,1,0.458333333333333,0
0,-1,5,2,0.625,0.0833333333333333
0,-1,5,3,0.708333333333333,0.145833333333333
0,-1,5,4,0.645833333333333,0.208333333333333
0,-1,5,5,0.854166666666667,0.291666666666667
0,-1,5,6,0.875,0.416666666666667
0,-1,5,7,0.916666666666667,0.583333333333333
0,-1,6,1,0.479166666666667,0
0,-1,6,2,0.625,0.125
0,-1,6,3,0.666666666666667,0.333333333333333
0,-1,6,4,0.625,0.208333333333333
0,-1,6,5,0.645833333333333,0.229166666666667
0,-1,6,6,0.8125,0.395833333333333
0,-1,6,7,0.958333333333333,0.8125
0,-1,7,1,0.5,0
0,-1,7,2,0.541666666666667,0
0,-1,7,3,0.6875,0
0,-1,7,4,0.666666666666667,0.0416666666666667
0,-1,7,5,0.645833333333333,0
0,-1,7,6,0.791666666666667,0.0833333333333333
0,-1,7,7,0.916666666666667,0.25
0,-1,8,1,0.520833333333333,0.0208333333333333
0,-1,8,2,0.583333333333333,0.0625
0,-1,8,3,0.583333333333333,0.229166666666667
0,-1,8,4,0.8125,0.270833333333333
0,-1,8,5,0.854166666666667,0.395833333333333
0,-1,8,6,0.895833333333333,0.520833333333333
0,-1,8,7,0.916666666666667,0.75
0,-1,9,1,0.5,0.0625
0,-1,9,2,0.479166666666667,0.1875
0,-1,9,3,0.625,0.333333333333333
0,-1,9,4,0.604166666666667,0.1875
0,-1,9,5,0.604166666666667,0.270833333333333
0,-1,9,6,0.604166666666667,0.375
0,-1,9,7,0.854166666666667,0.4375
0,-1,10,1,0.4375,0
0,-1,10,2,0.5625,0.125
0,-1,10,3,0.708333333333333,0.25
0,-1,10,4,0.645833333333333,0.3125
0,-1,10,5,0.791666666666667,0.4375
0,-1,10,6,0.708333333333333,0.541666666666667
0,-1,10,7,0.916666666666667,0.75
0,-1,11,1,0.4375,0.0625
0,-1,11,2,0.583333333333333,0.375
0,-1,11,3,0.708333333333333,0.770833333333333
0,-1,11,4,0.645833333333333,0.916666666666667
0,-1,11,5,0.916666666666667,0.916666666666667
0,-1,11,6,0.875,0.979166666666667
0,-1,11,7,0.979166666666667,0.979166666666667
0,-1,12,1,0.520833333333333,0
0,-1,12,2,0.645833333333333,0.125
0,-1,12,3,0.770833333333333,0.166666666666667
0,-1,12,4,0.791666666666667,0.25
0,-1,12,5,0.833333333333333,0.395833333333333
0,-1,12,6,0.916666666666667,0.604166666666667
0,-1,12,7,0.9375,0.541666666666667
0,-1,13,1,0.541666666666667,0
0,-1,13,2,0.604166666666667,0.0416666666666667
0,-1,13,3,0.479166666666667,0.354166666666667
0,-1,13,4,0.541666666666667,0.3125
0,-1,13,5,0.8125,0.5625
0,-1,13,6,0.791666666666667,0.666666666666667
0,-1,13,7,0.916666666666667,0.916666666666667
0,-1,14,1,0.479166666666667,0.0208333333333333
0,-1,14,2,0.574468085106383,0.0851063829787234
0,-1,14,3,0.729166666666667,0.145833333333333
0,-1,14,4,0.708333333333333,0.354166666666667
0,-1,14,5,0.75,0.229166666666667
0,-1,14,6,0.666666666666667,0.229166666666667
0,-1,14,7,0.808510638297872,0.574468085106383
0,-1,15,1,0.4375,0
0,-1,15,2,0.541666666666667,0.25
0,-1,15,3,0.625,0.354166666666667
0,-1,15,4,0.708333333333333,0.479166666666667
0,-1,15,5,0.770833333333333,0.666666666666667
0,-1,15,6,0.770833333333333,0.729166666666667
0,-1,15,7,0.958333333333333,0.854166666666667
1,-1,16,1,0.541666666666667,0.0625
1,-1,16,2,0.645833333333333,0.166666666666667
1,-1,16,3,0.645833333333333,0.395833333333333
1,-1,16,4,0.791666666666667,0.3125
1,-1,16,5,0.729166666666667,0.25
1,-1,16,6,0.851063829787234,0.48936170212766
1,-1,16,7,0.791666666666667,0.541666666666667
1,-1,17,1,0.479166666666667,0.208333333333333
1,-1,17,2,0.5625,0.395833333333333
1,-1,17,3,0.604166666666667,0.583333333333333
1,-1,17,4,0.5625,0.291666666666667
1,-1,17,5,0.458333333333333,0.5
1,-1,17,6,0.416666666666667,0.416666666666667
1,-1,17,7,0.666666666666667,0.5
1,-1,18,1,0.5,0.0208333333333333
1,-1,18,2,0.416666666666667,0.0625
1,-1,18,3,0.625,0.104166666666667
1,-1,18,4,0.6875,0.291666666666667
1,-1,18,5,0.645833333333333,0.458333333333333
1,-1,18,6,0.770833333333333,0.375
1,-1,18,7,0.875,0.666666666666667
1,-1,19,1,0.479166666666667,0
1,-1,19,2,0.4375,0.0416666666666667
1,-1,19,3,0.625,0.104166666666667
1,-1,19,4,0.458333333333333,0.0625
1,-1,19,5,0.729166666666667,0.1875
1,-1,19,6,0.791666666666667,0.333333333333333
1,-1,19,7,0.8125,0.625
1,-1,20,1,0.625,0.166666666666667
1,-1,20,2,0.8125,0.645833333333333
1,-1,20,3,0.791666666666667,0.729166666666667
1,-1,20,4,0.770833333333333,0.520833333333333
1,-1,20,5,0.791666666666667,0.666666666666667
1,-1,20,6,0.791666666666667,0.5625
1,-1,20,7,0.770833333333333,0.541666666666667
1,-1,21,1,0.5,0.0416666666666667
1,-1,21,2,0.416666666666667,0.0208333333333333
1,-1,21,3,0.541666666666667,0.291666666666667
1,-1,21,4,0.791666666666667,0.270833333333333
1,-1,21,5,0.791666666666667,0.395833333333333
1,-1,21,6,0.708333333333333,0.458333333333333
1,-1,21,7,0.916666666666667,0.708333333333333
1,-1,22,1,0.45,0.325
1,-1,22,2,0.625,0.675
1,-1,22,3,0.6,0.675
1,-1,22,4,0.775,0.775
1,-1,22,5,0.675,0.7
1,-1,22,6,0.625,0.775
1,-1,22,7,0.75,0.75
1,-1,23,1,0.458333333333333,0.0416666666666667
1,-1,23,2,0.583333333333333,0.125
1,-1,23,3,0.8125,0.354166666666667
1,-1,23,4,0.854166666666667,0.458333333333333
1,-1,23,5,0.791666666666667,0.4375
1,-1,23,6,0.875,0.5625
1,-1,23,7,0.770833333333333,0.729166666666667
1,-1,24,1,0.458333333333333,0
1,-1,24,2,0.666666666666667,0.104166666666667
1,-1,24,3,0.729166666666667,0.229166666666667
1,-1,24,4,0.791666666666667,0.229166666666667
1,-1,24,5,0.770833333333333,0.395833333333333
