att,subjectID,AUC,alphaC,betaC,gammaC,lambdaC,alphaA,betaA,gammaA,lambdaA,alphaR,betaR,gammaR,lambdaR
-1,1,0.118280568497434,0.198196804020384,2.30402482122067,0.00769056222016072,0.138064942778777,0.175575890009399,3.01612412532743,0.5,0.188127520574509,1.12883838441471,0.76390252041452,0.0153811244403214,0.733890195103565
-1,2,0.0273045042292555,0.201522719074666,4.35629081975969,0.0712533675667373,0.440524960600674,0.123874425496858,4.49048155512274,0.5,0.262541222420619,1.6268307059053,0.970116626977352,0.142506735133475,1.67792682817217
-1,3,0.286570965777471,0.102633282444827,5.20853235512524,0.324623896878966,0.104180744069879,0.117556166239738,4.09372771121068,0.5,0.0727028471236404,0.873057413556021,1.27232017431488,0.649247793757931,1.43296649569592
-1,4,0.0127976369776398,2.52377528882291,1.38645522983793,4.33555596348444e-15,0.0878587756041509,0.396145990115031,4.26625381360967,0.5,0.271294139730732,6.37082124216395,0.3249818905324,8.67111192696888e-15,0.32385062092146
-1,5,0.0803121845714915,0.218706967316096,3.59426484902848,7.84913990269649e-15,0.416315397864939,0.183607015663457,3.50957232337554,0.5,0.0812424119175544,1.1911689023745,1.02413186503918,1.5698279805393e-14,5.12436039303486
-1,6,0.132455032903102,0.30832572216721,2.12659266791923,1.09834578536017e-06,0.148132234383015,0.260006511092175,2.40726370788015,0.5,0.0388429567005039,1.18583846562944,0.883406608489903,2.19669157072034e-06,3.8136189148828
-1,7,0.0201448648273872,0.36090493504601,3.94955737717962,1.71693478441544e-14,0.103508551155885,0.179393333200492,2.66164978082942,0.5,0.0639511600186153,2.01180795633392,1.48387567952267,3.43386956883087e-14,1.61855627209507
-1,8,0.0913515867693061,0.175726848493785,3.52527355954144,0.00108807700646638,0.251429935227081,0.139229279113857,6.39625115150792,0.5,0.0961901989544162,1.26214004419344,0.551146832111238,0.00217615401293275,2.61388309786355
-1,9,0.117896350911395,0.279137792555111,1.39331873619889,8.9074959271384e-12,0.55950966653071,0.622326865268664,1.80283822111648,0.5,0.0930794985383402,0.448538875843975,0.772847346966065,1.78149918542768e-11,6.01109455161324
-1,10,0.160390713509864,0.233044936757853,3.30365210561522,6.73109785730294e-14,0.25511999813949,0.256449141982758,2.16184152271586,0.5,0.0837267719507113,0.908737439930764,1.52816571931922,1.34621957146059e-13,3.04705403296421
-1,11,0.345320712379218,0.126482625884453,5.64104789972974,0.047042930933268,0.0419513314716616,0.172738336738538,3.58999389936631,0.5,0.0226672445252503,0.732220931801031,1.57132520496079,0.0940858618665359,1.85074685301646
-1,12,0.0866472946318123,0.192708853252115,4.39475625331282,1.43311791886996e-15,0.42185989747897,0.169367478432357,2.73030063058373,0.5,0.0605263181166451,1.13781497508142,1.60962357188235,2.86623583773991e-15,6.96985890775596
-1,13,0.205406873639342,0.217672343389256,3.97041719737559,2.57818365315398e-13,0.0877043441870689,0.222706588517219,5.72720786269161,0.5,0.0883364874870634,0.977395167509498,0.693255298666533,5.15636730630796e-13,0.992843916279928
-1,14,0.0442137265281979,0.272654609004658,1.97089790282526,2.54639014103712e-13,0.403116242651215,0.169634559047431,2.08329007225429,0.5,0.210865733451735,1.60730579037507,0.946050638398418,5.09278028207424e-13,1.91172001278948
-1,15,0.23660634126529,0.166887421229659,3.47671056385674,3.09203263427959e-15,0.158734812536013,0.207155080425435,2.94076582883255,0.5,0.0424827131201326,0.80561587428569,1.18224665485757,6.18406526855917e-15,3.73645656969088
0,1,0.0939854854435155,0.164282901613929,4.47285406764066,3.37490731025793e-13,0.0713768400863818,0.155161636934031,4.95980702900391,0.5,0.0885421103805489,1.05878556620137,0.901820179995785,6.74981462051586e-13,0.806134389383857
0,2,0.039076373453901,0.171729941922249,3.59724530114707,0.000679523509064862,6.44682073661381e-14,0.123240997870139,9.89369809012849,0.5,0.0624625475203813,1.39344816165157,0.363589556541678,0.00135904701812972,1.03210979899759e-12
0,3,0.322399196954525,0.0846680668112143,2.84138408054879,0.00162847025114995,1.80817070979848e-14,0.107423742236724,7.72234897875155,0.5,0.0498958063090402,0.788169030870624,0.367942978019642,0.00325694050229991,3.62389315566761e-13
0,4,0.0193697704780544,0.407302937437906,2.19060309865328,2.13317346354749e-14,0.589558194667578,0.250368479331709,7.68115932458478,0.5,0.130685747898689,1.62681396046775,0.285191727717704,4.26634692709497e-14,4.51126617972617
0,5,0.0740356293037302,0.175836603451518,5.72543912595181,2.34050731686443e-15,0.230184278791058,0.154052066176278,4.42534234061158,0.5,0.0143248040837682,1.14141022458156,1.29378445446111,4.68101463372886e-15,16.0689303284703
0,6,0.099555220548496,0.232841007852464,2.40265350247533,9.22781328506922e-14,0.0656925448677155,0.150033712346964,2.85843018153531,0.5,0.078642729456255,1.55192459221433,0.84055000468293,1.84556265701384e-13,0.835328902263711
