site,att,subjectID,AUC,alphaC,betaC,gammaC,lambdaC,alphaA,betaA,gammaA,lambdaA,alphaR,betaR,gammaR,lambdaR
0,-1,1,0.0308291482853897,0.179889196915366,3.73781274400774,0.0478913182417474,0.416937505872736,0.128821276035122,5.90761652495591,0.5,0.30801585690166,1.39642458491345,0.632710794314063,0.0957826364834948,1.35362351168126
0,-1,2,0.179095792371328,0.194962580115696,5.42066237308072,0.176761848990124,0.222101710543906,0.211129609898676,3.92131456729088,0.5,0.142572548309041,0.923426042463971,1.38235846169967,0.353523697980249,1.55781539418428
0,-1,3,0.0489768765407306,0.197269068858073,3.83592220239736,0.0972940867960582,0.269636015516586,0.177545952661044,21.6643536793134,0.5,0.364768630278483,1.11108738837141,0.177061465076623,0.194588173592116,0.73919737920098
0,-1,4,0.029637829179783,0.23945165293583,140.712602595051,0.0104166179641315,0.708332295279213,0.261617167004035,3.19417319608765,0.5,0.227982211576787,0.915275001552695,44.0529031949181,0.0208332359282629,3.10696299671888
0,-1,5,0.0497617592769334,0.198841482148966,3.74341492095006,0.00268861676759488,0.177158159545874,0.159845066267947,2.73246680279748,0.5,0.280747874033317,1.24396383818097,1.36997635876768,0.00537723353518977,0.631022265639135
0,-1,6,0.0211271694765254,0.257067962386076,4.7580141528566,0.0814874780346085,0.746622516568279,0.195941311657626,2.57887565429269,0.5,0.309263276750731,1.31196407848519,1.84499556810217,0.162974956069217,2.41419713459889
0,-1,7,0.00923519923792184,0.212929087676757,2.66637635569015,0.026726080378,0.447104279412081,0.088226212395116,3.39289641537156,0.5,0.35295128886904,2.41344473367129,0.785870250447405,0.0534521607560001,1.26675916340959
0,-1,8,0.11220424376306,0.323603057631182,3.05418027738128,0.158245130717577,1.29535960063986e-11,0.321629194501736,2.46757232770329,0.5,2.0550112164122e-10,1.00613707699173,1.23772674992833,0.316490261435154,0.0630341863973569
0,-1,9,0.0299359979325896,0.169390121251632,132.061148905648,0.0300926001896966,0.848958402366876,0.234538173224653,3.75770723433774,0.5,0.24374987271777,0.722228364460662,35.1440760735377,0.0601852003793932,3.48290808483767
0,-1,10,0.0262603101680225,3.40255060497359,0.879025037102606,0.0676375035032705,8.24740161701269e-15,0.135030624297918,150.702797760378,0.5,0.270831857151792,25.1983623912345,0.005832838209814,0.135275007006541,3.04521104117759e-14
0,-1,11,0.031808596585786,0.748605048420058,1.66597550243784,0.127689385805153,1.59590623239638e-08,0.273378585146976,17.6205246978878,0.5,0.377527700634387,2.73834560968844,0.0945474400451617,0.255378771610306,4.22725598602344e-08
0,-1,12,0.096995838938898,0.270808335359811,2.98239037496605,0.0825992444791368,0.34331738581135,0.268282642382036,4.1089659125651,0.5,0.235671847647161,1.00941429887282,0.725825046600163,0.165198488958274,1.45676027594671
0,-1,13,0.0258345726087029,0.425419693642164,1.62397665543308,0.0358706071236512,2.86273255908109e-10,0.695331743832358,2.30434651459243,0.5,9.1806266584306e-10,0.61182262627252,0.70474498741797,0.0717412142473024,0.311823219219162
0,-1,14,0.00274716413728124,0.289326801044677,19.8425852654592,0.0457860689546872,0.850000339296205,18.8984454799506,7.53010423029377e-14,0.5,0.39830149174562,0.0153095555585047,263510101037275,0.0915721379093744,2.13406265583125
0,-1,15,0.166374944475486,0.132150626367628,2.10981727883363,0.48043920196621,0.0571795089841963,0.0881567573344847,3.18358959868747,0.5,0.227394971734898,1.49904137088688,0.662716475673707,0.96087840393242,0.251454588234507
1,-1,16,0.126039794015298,0.242147944761178,4.88248626790766,0.0320038416266459,0.327856036210559,0.261432543152744,3.37201059946953,0.5,0.074150215351397,0.926234897312311,1.44794511282845,0.0640076832532919,4.42151158505546
1,-1,17,0.0759706043405674,0.153950472604488,4.06549111318046,0.0385160018398759,0.279808169900436,0.125631890313916,6.06802215398162,0.5,0.170083673734311,1.22540918726776,0.669986201436795,0.0770320036797518,1.64512068534882
1,-1,18,0.0486821503219661,0.285134780760959,4.10270366313678,2.49779627788806e-16,0.0461455163087032,0.400658382002205,1.54140938438248,0.5,4.46305039900577e-12,0.711665582374837,2.66165737973653,4.99559255577613e-16,10339456690.6488
1,-1,19,0.191845528368062,0.225344272029968,4.81186124203079,0.065872174561492,0.0974594651478521,0.21377921587655,38.6835054782654,0.5,0.100019563506139,1.05409813159805,0.124390516902207,0.131744349122984,0.974404023887488
1,-1,20,0.00848856704092363,0.249674903892874,6.84657271714653,0.141476117348727,0.480900575320154,43.6900840463207,3.04128762254977e-14,0.5,0.400772087185025,0.0057146812450204,225120855600184,0.282952234697454,1.19993530162727
1,-1,21,0.247631987318422,0.239360451900632,6.02589040603502,0.0728101609213071,0.186227895571855,0.324205399871169,61.5005455081288,0.5,0.0584947730861151,0.738298782178667,0.0979810887244659,0.145620321842614,3.18366728763429
1,-1,22,0.00905357098399911,3.48183607144848,13.5820304246056,0.0232142845743566,0.123469594316344,0.169596263676146,0.958324005629239,0.5,0.0192372761689862,20.5301461009616,14.1726914329852,0.0464285691487133,6.41824722126711
1,-1,23,0.0202799355446912,0.2625313416149,6.64918203697008,0.0258886952608099,0.632266705348589,0.206144422023734,6.42175367294132,0.5,0.246338113364988,1.27353114402811,1.03541530485466,0.0517773905216199,2.5666621243128
1,-1,24,0.134640249208687,0.185154238755125,3.58249357455562,0.19250694976474,0.325212915234756,0.18049764264782,3.99289104994554,0.5,0.173418423829659,1.02579865331755,0.897217963060746,0.385013899529479,1.87530775596367
1,-1,25,0.0366779834539674,0.241004753821827,4.51245817123612,0.0516915024377296,0.439082975206308,0.215454111927188,8.75297794340682,0.5,0.344990988872278,1.11858971576868,0.515534050286866,0.103383004875459,1.27273751885984
1,-1,26,0.127119182626591,0.244187617143149,3.09298781130409,0.29906595556414,0.132429841087314,0.262046703215838,2.32246766033111,0.5,0.193192397576592,0.931847697935055,1.3317678709305,0.598131911128279,0.685481637727548
1,-1,27,0.102975055292165,0.219066783674099,3.59927304881663,0.0108601008473783,0.220691554046475,0.201256858041207,2.62192550406986,0.5,0.156666535443742,1.08849350927085,1.37275946369555,0.0217202016947565,1.40867067380655
1,-1,28,0.108595608791002,0.232170573483945,3.31123102875662,0.0866837239079039,0.167789701080808,0.442808214070952,1.88098411559557,0.5,3.9571372403835e-08,0.52431406217488,1.76037160617287,0.173367447815808,4240178.9700007
1,-1,29,0.0711517858014167,0.210752023285391,4.80526282483759,0.0744997356744408,0.424589705224419,0.195124105595292,4.55110714833099,0.5,0.235508543156455,1.08009219384976,1.05584480176429,0.148999471348882,1.80286328272326
1,-1,30,0.0758774255138436,0.2184002471986,3.10631846023635,0.00714924238935483,0.582890457864218,0.201923882311314,5.812630161839,0.5,0.0749044551786509,1.0815969101757,0.534408413015834,0.0142984847787097,7.78178622985769
0,0,1,0.0260251202278973,0.176735297126003,4.6911160005091,0.0145994028288523,0.0212974601866935,0.158889294251748,4.66988860077418,0.5,0.0205938359271127,1.11231721405962,1.00454559017348,0.0291988056577046,1.03416674106131
0,0,2,0.0877627263244179,0.171218394536011,3.55317995497826,0.0809987378251116,0.0561188014806564,0.148036840571579,2.1579162458545,0.5,0.0155336528626876,1.15659314178097,1.6465791764644,0.161997475650223,3.61272406282851
0,0,3,0.0293685925675829,0.16696878850371,4.0959577720412,0.0408265431656294,0.0891384925952927,0.171787974846637,3.76976696757267,0.5,0.19165173160308,0.97194689356325,1.08652810830866,0.0816530863312589,0.465106638221787
0,0,4,0.0163371576329964,0.254758749340138,4.51415747164813,0.00256185785558051,0.173807454331386,0.181753599692072,4.20520072905668,0.5,0.113046496893,1.40167099728287,1.07347015338808,0.00512371571116103,1.5374864246868
0,0,5,0.0511842923132873,0.174556224019376,4.11172900965138,0.00836927870895477,0.0688573848549736,0.147712892520523,10.0505203303406,0.5,0.113084675740747,1.18172639531193,0.409106083516774,0.0167385574179095,0.608901112409189
0,0,6,0.011424775550167,0.232051927109287,7.07774846005764,0.0398209824574216,0.48204977156401,0.244150793213474,2.92096644084562,0.5,2.73128735111548e-13,0.950445108349051,2.42308448364392,0.0796419649148432,1764917819310.14
0,0,7,0.00603633404313953,0.204451079212191,3.42370031600145,0.0180118979954132,0.0783055215231643,0.146729150267516,2.00530006934195,0.5,0.121574988897156,1.39339101221153,1.70732568573887,0.0360237959908263,0.644092360061042
0,0,8,0.10629679935042,0.174335882395034,4.64354972427494,0.0618155723928302,0.0407034867251507,0.180571576621097,3.38206041262325,0.5,0.0612759266219238,0.965466911555259,1.37299431640644,0.12363114478566,0.664265543894484
