correctDis,pSeen,rt,pSeenFeature,expt,subjectID,attention,stimStrength,stimType,taskType,site
0.4375,0.0833333333333333,0.393077289064725,0.0625,1,1,-1,1,0,0,0
0.604166666666667,0.291666666666667,0.532021388411522,0.208333333333333,1,1,-1,2,0,0,0
0.645833333333333,0.395833333333333,0.51728056371212,0.270833333333333,1,1,-1,3,0,0,0
0.604166666666667,0.5,0.595793550213178,0.416666666666667,1,1,-1,4,0,0,0
0.729166666666667,0.604166666666667,0.588765735427539,0.5,1,1,-1,5,0,0,0
0.75,0.604166666666667,0.603999440868696,0.5625,1,1,-1,6,0,0,0
0.8125,0.854166666666667,0.646304880579313,0.854166666666667,1,1,-1,7,0,0,0
0.520833333333333,0,0.42306483288606,0,1,1,0,1,0,0,0
0.5625,0.270833333333333,0.603054205576579,0.166666666666667,1,1,0,2,0,0,0
0.6875,0.4375,0.552737792332967,0.375,1,1,0,3,0,0,0
0.75,0.5625,0.534337028861046,0.5,1,1,0,4,0,0,0
0.875,0.729166666666667,0.623062416911125,0.666666666666667,1,1,0,5,0,0,0
0.895833333333333,0.958333333333333,0.529037788510323,0.916666666666667,1,1,0,6,0,0,0
0.916666666666667,0.979166666666667,0.473153491814931,0.916666666666667,1,1,0,7,0,0,0
0.486111111111111,0.00694444444444444,0.269629046320915,0,1,1,1,1,0,0,0
0.611111111111111,0.236111111111111,0.346208438277245,0.208333333333333,1,1,1,2,0,0,0
0.652777777777778,0.451388888888889,0.429070197873645,0.326388888888889,1,1,1,3,0,0,0
0.729166666666667,0.652777777777778,0.403392081459363,0.5625,1,1,1,4,0,0,0
0.875,0.833333333333333,0.425498450795809,0.736111111111111,1,1,1,5,0,0,0
0.930555555555556,0.944444444444444,0.380585837695334,0.819444444444444,1,1,1,6,0,0,0
0.993055555555556,1,0.311354998085234,0.965277777777778,1,1,1,7,0,0,0
0.479166666666667,0.125,0.308177143335342,0.0833333333333333,1,2,-1,1,0,0,0
0.604166666666667,0.291666666666667,0.492114285628001,0.0833333333333333,1,2,-1,2,0,0,0
0.6875,0.416666666666667,0.548861796657244,0.145833333333333,1,2,-1,3,0,0,0
0.6875,0.395833333333333,0.57087667286396,0.1875,1,2,-1,4,0,0,0
0.770833333333333,0.625,0.657318696379662,0.3125,1,2,-1,5,0,0,0
0.666666666666667,0.6875,0.623190879821777,0.354166666666667,1,2,-1,6,0,0,0
0.791666666666667,0.6875,0.573261757691701,0.5625,1,2,-1,7,0,0,0
0.541666666666667,0.0208333333333333,0.374531542261442,0,1,2,0,1,0,0,0
0.604166666666667,0.291666666666667,0.510039647420247,0.0416666666666667,1,2,0,2,0,0,0
0.875,0.791666666666667,0.693943843245506,0.416666666666667,1,2,0,3,0,0,0
0.9375,0.895833333333333,0.607750957210859,0.604166666666667,1,2,0,4,0,0,0
0.979166666666667,0.958333333333333,0.662593603134155,0.75,1,2,0,5,0,0,0
0.895833333333333,0.875,0.608186006546021,0.708333333333333,1,2,0,6,0,0,0
0.9375,1,0.547869692246119,1,1,2,0,7,0,0,0
0.472222222222222,0,0.235142954521709,0,1,2,1,1,0,0,0
0.604166666666667,0.354166666666667,0.358819150262409,0.0972222222222222,1,2,1,2,0,0,0
0.854166666666667,0.895833333333333,0.445010544525252,0.375,1,2,1,3,0,0,0
0.923611111111111,0.979166666666667,0.413139694266849,0.541666666666667,1,2,1,4,0,0,0
0.958333333333333,0.993055555555556,0.379984299341838,0.701388888888889,1,2,1,5,0,0,0
0.965277777777778,1,0.391970199015405,0.826388888888889,1,2,1,6,0,0,0
0.979166666666667,1,0.373739944563972,0.979166666666667,1,2,1,7,0,0,0
0.520833333333333,0.604166666666667,0.83624559144179,0.354166666666667,1,3,-1,1,0,0,0
0.625,0.8125,0.858608707785606,0.520833333333333,1,3,-1,2,0,0,0
0.666666666666667,0.916666666666667,0.838113481799761,0.6875,1,3,-1,3,0,0,0
0.8125,0.9375,0.743671049674352,0.833333333333333,1,3,-1,4,0,0,0
0.833333333333333,0.979166666666667,0.657034729917844,0.916666666666667,1,3,-1,5,0,0,0
0.9375,0.958333333333333,0.66977925101916,0.875,1,3,-1,6,0,0,0
0.916666666666667,0.979166666666667,0.704669718941053,0.895833333333333,1,3,-1,7,0,0,0
0.4375,0.5,0.764434779683749,0.291666666666667,1,3,0,1,0,0,0
0.541666666666667,0.895833333333333,0.680330316225688,0.645833333333333,1,3,0,2,0,0,0
0.770833333333333,0.979166666666667,0.60876689851284,0.875,1,3,0,3,0,0,0
0.895833333333333,1,0.572606901327769,0.9375,1,3,0,4,0,0,0
0.958333333333333,1,0.517343809207281,0.958333333333333,1,3,0,5,0,0,0
0.9375,1,0.522304967045784,1,1,3,0,6,0,0,0
0.958333333333333,1,0.470255161325137,1,1,3,0,7,0,0,0
0.597222222222222,0.819444444444444,0.527425961361991,0.444444444444444,1,3,1,1,0,0,0
0.597222222222222,0.916666666666667,0.451139133837488,0.756944444444444,1,3,1,2,0,0,0
0.777777777777778,0.986111111111111,0.432253739900059,0.798611111111111,1,3,1,3,0,0,0
0.9375,1,0.380779503120316,0.923611111111111,1,3,1,4,0,0,0
0.958333333333333,1,0.369585376646784,0.944444444444444,1,3,1,5,0,0,0
0.993055555555556,1,0.342538974351353,0.993055555555556,1,3,1,6,0,0,0
0.993055555555556,1,0.325321132938067,1,1,3,1,7,0,0,0
0.479166666666667,0,0.574081555008888,0,1,4,-1,1,0,0,0
0.574468085106383,0.25531914893617,0.902256960564471,0,1,4,-1,2,0,0,0
