att,subjectID,AUC,alphaC,betaC,gammaC,lambdaC,alphaA,betaA,gammaA,lambdaA,alphaR,betaR,gammaR,lambdaR
-1,1,0.14116089653662,0.173020892862089,2.02520376978193,5.16901197812144e-13,0.144999787018536,0.175575890009399,3.01612412532743,0.5,0.188127520574509,0.985447904338269,0.671459026760733,1.03380239562429e-12,0.770752660619411
-1,2,0.0690056986800195,0.150968610425224,3.36317922113881,0.103997101563019,0.29594710726008,0.123874425496858,4.49048155512274,0.5,0.262541222420619,1.21872299160777,0.748957362335025,0.207994203126039,1.12724053210182
-1,3,0.362433648953749,0.0703051724384049,2.31428971301616,0.223916393704939,0.0274102805994226,0.117556166239738,4.09372771121068,0.5,0.0727028471236404,0.598056016007091,0.5653257559555,0.447832787409878,0.377017980503679
-1,4,0.0845253353220367,0.273083870936652,3.13353774575028,2.70581058776567e-12,0.523404708819202,0.396145990115031,4.26625381360967,0.5,0.271294139730732,0.689351597014412,0.734493980586447,5.41162117553134e-12,1.92928866557419
-1,5,0.300278333148897,0.121238245944573,2.47896969927749,2.04509702762241e-14,0.0717871049105153,0.183607015663457,3.50957232337554,0.5,0.0812424119175544,0.660313798503195,0.706345238354624,4.09019405524482e-14,0.883616121384549
-1,6,0.267583006663251,0.159545496983083,2.22859874089943,3.64438169229313e-15,0.137055523574012,0.260006511092175,2.40726370788015,0.5,0.0388429567005039,0.613621160150571,0.925780891226889,7.28876338458627e-15,3.52845239436249
-1,7,0.288998420383583,0.102808669849785,1.31018486819971,1.8610929563385e-12,0.0657617576408305,0.179393333200492,2.66164978082942,0.5,0.0639511600186153,0.573090805637045,0.492245402695854,3.72218591267699e-12,1.02831219358161
-1,8,0.353058819386295,0.0701817512730329,1.40594710102522,0.000732517245477129,6.9947276460804e-14,0.139229279113857,6.39625115150792,0.5,0.0961901989544162,0.504073221665111,0.219807988730049,0.00146503449095426,7.27176752113294e-13
-1,9,0.252293295384351,0.180751054417948,2.10481949161774,2.58340723366605e-13,0.190809456309226,0.622326865268664,1.80283822111648,0.5,0.0930794985383402,0.290443920237826,1.16750325512527,5.1668144673321e-13,2.04996222912213
-1,10,0.301015832382989,0.145267355323781,2.45915927427924,3.60162527807324e-13,0.0504384125801196,0.256449141982758,2.16184152271586,0.5,0.0837267719507113,0.56645678047754,1.13752985519025,7.20325055614648e-13,0.602416782648827
-1,11,0.348503903511158,0.126079053199099,5.04637192514688,0.0384570210288712,0.0328866149441013,0.172738336738538,3.58999389936631,0.5,0.0226672445252503,0.729884608012269,1.40567701968453,0.0769140420577424,1.45084308361641
-1,12,0.315158156318028,0.10716145668863,2.62689596459011,1.75680243692913e-13,0.0493064982589622,0.169367478432357,2.73030063058373,0.5,0.0605263181166451,0.632715664663028,0.962127003585127,3.51360487385826e-13,0.814629070348203
-1,13,0.265278639861329,0.193346603355175,3.24078725922282,1.20193285137239e-15,0.0426040605192818,0.222706588517219,5.72720786269161,0.5,0.0883364874870634,0.868167415443241,0.565858152335291,2.40386570274479e-15,0.482292897660448
-1,14,0.174791228182975,0.12258759862599,15.5539142382882,0.291657280936949,0.163179925017259,0.169634559047431,2.08329007225429,0.5,0.210865733451735,0.722656982836346,7.46603386894538,0.583314561873898,0.773857005337516
-1,15,0.346803819804906,0.114159003629448,3.19001877200748,7.44233372515255e-13,0.0713052503325946,0.207155080425435,2.94076582883255,0.5,0.0424827131201326,0.551079912667357,1.08475783441549,1.48846674503051e-12,1.67845330713595
0,1,0.115006218908676,0.159783687445514,3.9411859741113,6.2168407250916e-07,0.0174336297236813,0.155161636934031,4.95980702900391,0.5,0.0885421103805489,1.02978861658599,0.794624861625477,1.24336814501832e-06,0.196896478396015
0,2,0.0705424484249342,0.122517998424079,8.08173134420842,0.0175302433323303,0.066247075779682,0.123240997870139,9.89369809012849,0.5,0.0624625475203813,0.994133450243387,0.816856474756596,0.0350604866646607,1.0605887593372
0,3,0.391582147750171,0.067386047734806,3.31190880603118,0.000140313484180367,2.7100498432749e-15,0.107423742236724,7.72234897875155,0.5,0.0498958063090402,0.627291940605747,0.428873237293998,0.000280626968360734,5.43141807648048e-14
0,4,0.0830674994241356,0.226383809885327,16.0176581051474,0.0208332555838776,0.205020913820423,0.250368479331709,7.68115932458478,0.5,0.130685747898689,0.904202519780433,2.08531777929411,0.0416665111677551,1.56880851291726
0,5,0.290309614373314,0.116666123330436,2.74001303787897,5.30571515034839e-05,6.80145629081532e-13,0.154052066176278,4.42534234061158,0.5,0.0143248040837682,0.757316186833466,0.619164084263887,0.000106114303006968,4.74802744319709e-11
0,6,0.209427079444469,0.139767889435915,3.78463438118786,1.20696010189896e-14,0.0703613916357455,0.150033712346964,2.85843018153531,0.5,0.078642729456255,0.931576558691634,1.32402547581382,2.41392020379791e-14,0.894696714142965
0,7,0.269100496252697,0.100867201777647,3.1294372188812,6.42253668298621e-13,0.0284796220342521,0.12803017334637,4.11239344836376,0.5,0.0240360608078548,0.78783929710665,0.760977094768581,1.28450733659724e-12,1.18487061011866
0,8,0.298139584985729,0.0706683843527684,1.62599474119166,0.0017916482681409,6.20859214394845e-14,0.123018995784713,2.39864230353775,0.5,0.0519483575912627,0.574450993539569,0.677881290925905,0.00358329653628179,1.19514695590543e-12
0,9,0.134790837665945,0.174574604230539,3.40251684483978,6.25097786905553e-14,0.10387826802208,0.261357899392182,1.07589299072589,0.5,0.0344519392922034,0.667952277840205,3.16250489051345,1.25019557381111e-13,3.01516460774644
