site,att,subjectID,AUC,alphaC,betaC,gammaC,lambdaC,alphaA,betaA,gammaA,lambdaA,alphaR,betaR,gammaR,lambdaR
0,-1,1,0.0491388938924806,0.299524575810939,5.56657202854086,0.0836054807567613,0.229166666666667,0.250497417121497,1.27112174201083,0.5,0.270833333333333,1.19571921839682,4.37925955049351,0.167210961513523,0.846153846153846
0,-1,2,0.0528500044514967,0.343676283940224,53.2221698043613,0.377500031796405,0.4125,0.111390700078019,1.86297585282038,0.5,0.35,3.08532295514358,28.5683626676039,0.755000063592809,1.17857142857143
0,-1,3,0.0564838804302679,0.372510505101713,4.09601825957983,0.0502604051106145,0.3375,0.315634880693045,4.0986769343087,0.5,0.2625,1.1801943571122,0.999351333425034,0.100520810221229,1.28571428571429
0,-1,4,0.027291404429397,0.462267536220701,4.74523017380613,0.0929473353469791,0.395833333333333,0.208830661813636,1.81936948519384,0.5,0.25,2.21359991969588,2.60817289309465,0.185894670693958,1.58333333333333
0,-1,5,0.0272064252056372,0.312772683763491,4.43522442401726,0.005947982037942,0.0208333333333334,0.156804749879926,1.31340791157432,0.5,0.239583333333333,1.99466332495029,3.3768826766857,0.011895964075884,0.0869565217391306
0,-1,6,0.035849382362252,0.303010164342264,3.11896958550888,0.081864463409603,0.114583333333333,0.179535480996944,3.81446823937692,0.5,0.3125,1.68774530059282,0.817668254073168,0.163728926819206,0.366666666666667
0,-1,7,0.147362706045503,0.227019955787611,2.25599378963288,0.100714305102433,0.0104166666666666,0.168156971937699,3.55209249435281,0.5,0.125,1.35004783430402,0.635116848229461,0.201428610204867,0.083333333333333
0,-1,8,0.0576164779098702,0.226881342493762,4.63715126360869,0.0340098824927227,0.025,0.138712793528429,0.97464968131353,0.5,0.225,1.63561944592561,4.75776204775364,0.0680197649854453,0.111111111111111
0,-1,9,0.0213124989318022,0.340058347297444,65.9386623697779,0.19374999028579,0.614583333333333,0.233939945361323,62.7011393535442,0.5,0.385416666666667,1.45361386133616,1.05163419755387,0.387499980571579,1.59459459459459
0,-1,10,0.020823162955441,0.367272804251375,9.43321303887765,0.0967876636109238,0.6375,0.278548767324628,1.15437606581866,0.5,0.325,1.3185224539994,8.17169839032293,0.193575327221848,1.96153846153846
0,-1,11,0.10604598969795,0.319187559740202,4.09046614247285,0.0313795269490783,0.0625,0.240425866144485,1.85472878539214,0.5,0.0729166666666666,1.32759242946175,2.20542549114965,0.0627590538981566,0.857142857142858
0,-1,12,0.0909618179290728,0.376879744055541,4.04342065299529,0.0861428014529252,0.270833333333333,0.332231187297931,2.2222808056546,0.5,0.145833333333333,1.13439002256453,1.81949132742666,0.17228560290585,1.85714285714286
0,-1,13,0.00738125043931964,0.296792352526858,2.82658940524052,0.0392656075038607,0.65,0.347706478999114,0.493475462541621,0.5,0.3625,0.853571533614172,5.72792290559353,0.0785312150077215,1.79310344827586
0,-1,14,0.00448708514140527,0.303113572894126,4.3772400160208,9.41058636249557e-14,0.0375,0.109157018757879,3.15790670189436,0.5,0.125,2.77685829407325,1.38612075315429,1.88211727249911e-13,0.3
0,-1,15,0.075370786065892,0.304394053749127,4.5134845805299,0.0289798497405288,0.145833333333333,0.317180401720527,2.00286047537641,0.5,0.260416666666667,0.959687458928608,2.25351922214235,0.0579596994810577,0.56
1,-1,16,0.0524295233822318,0.355922072413903,4.06343004064454,0.0650342748534855,0.325,0.278622714755396,1.37964151710411,0.5,0.1875,1.27743379690478,2.94527961812409,0.130068549706971,1.73333333333333
1,-1,17,0.0896700415408317,0.304206579041631,3.33569674438275,0.00998247285367576,0.03125,0.241705073746485,1.91661324712147,0.5,0.1875,1.25858582249167,1.74041202594868,0.0199649457073515,0.166666666666667
1,-1,18,0.0398419205197995,0.315169737392637,3.12859591966156,5.14392138323437e-15,0.3,0.138163197403179,0.97881802241496,0.5,0.075,2.28114102247453,3.19629987190328,1.02878427664687e-14,4
1,-1,19,0.0835608499359307,0.294664262183789,3.58048478109796,0.0114158793128176,0.075,0.195275324913011,1.21891866271551,0.5,0.0875,1.50896823403086,2.93742715623152,0.0228317586256352,0.857142857142856
1,-1,20,0.0211425853720189,0.359545972067894,8.6142452957638,0.0272457800002284,0.3625,0.548452700394118,0.936736795593959,0.5,0.2625,0.655564229713017,9.19601465030713,0.0544915600004567,1.38095238095238
1,-1,21,0.0146400296926864,0.373834842702743,3.56453891267958,1.66408416460189e-13,0.15625,0.10618019602542,0.783771205746588,0.5,0.239583333333333,3.52075864140658,4.54793297654275,3.32816832920378e-13,0.652173913043478
1,-1,22,0.0654321942904498,0.354219057349682,4.78992777868565,0.0415463847095251,0.2375,0.238488892812319,1.57821786301315,0.5,0.1125,1.48526437928679,3.03502316818331,0.0830927694190502,2.11111111111111
