site,att,subjectID,AUC,alphaC,betaC,gammaC,lambdaC,alphaA,betaA,gammaA,lambdaA,alphaR,betaR,gammaR,lambdaR
0,-1,1,0.0097151680411315,0.334260903979939,4.02356181636922,2.4080855291517e-16,0.760416666666667,0.250497417121497,1.27112174201083,0.5,0.270833333333333,1.33438862492468,3.16536306743068,4.81617105830339e-16,2.80769230769231
0,-1,2,0.0164701412786457,0.434820544353217,1.64797091057322,0.0986271062092061,0.6625,0.111390700078019,1.86297585282038,0.5,0.35,3.90356236246533,0.884590590950678,0.197254212418412,1.89285714285714
0,-1,3,0.0322174843787914,0.440402234049558,2.66470874965143,0.00141155256427042,0.5,0.315634880693045,4.0986769343087,0.5,0.2625,1.3952901310608,0.65013876242502,0.00282310512854083,1.90476190476191
0,-1,4,0.0158917725389522,0.436141082171686,5.69444095513929,0.0468429270236811,0.447916666666667,0.208830661813636,1.81936948519384,0.5,0.25,2.08849159593674,3.1298980231784,0.0936858540473622,1.79166666666667
0,-1,5,0.00873091186902683,0.352312307570842,4.51330108891861,1.08129135477926e-16,0.510416666666667,0.156804749879926,1.31340791157432,0.5,0.239583333333333,2.2468216545776,3.43632853825948,2.16258270955851e-16,2.1304347826087
0,-1,6,0.0258076184536317,0.339228597787098,2.29265712166243,0.050411451800954,0.40625,0.179535480996944,3.81446823937692,0.5,0.3125,1.88947942714941,0.601042393798232,0.100822903601908,1.3
0,-1,7,0.130921499610225,0.22138892705366,2.29027017360258,0.0611932916006738,0.09375,0.168156971937699,3.55209249435281,0.5,0.125,1.31656109468767,0.644766479826667,0.122386583201348,0.75
0,-1,8,0.0412297466459206,0.250883727470487,3.62576348431839,0.00666050627764497,0.15,0.138712793528429,0.97464968131353,0.5,0.225,1.80865600849622,3.72006840389253,0.0133210125552899,0.666666666666667
0,-1,9,0.00664583377141815,0.340360684827586,69.2749735155842,0.0604166706482564,0.729166666666667,0.233939945361323,62.7011393535442,0.5,0.385416666666667,1.45490623374257,1.10484393473256,0.120833341296513,1.89189189189189
0,-1,10,0.00689294145002108,0.360174591068601,4.13344096264271,0.00908770777449628,0.8125,0.278548767324628,1.15437606581866,0.5,0.325,1.29303961574831,3.58067105255804,0.0181754155489926,2.5
0,-1,11,0.095855678790812,0.319394372057979,3.40713635445034,0.00105284851849214,0.135416666666667,0.240425866144485,1.85472878539214,0.5,0.0729166666666666,1.3284526210921,1.8369997712253,0.00210569703698428,1.85714285714286
0,-1,12,0.0811492883002583,0.377947702118767,3.5442865831145,0.0392691481107486,0.291666666666667,0.332231187297931,2.2222808056546,0.5,0.145833333333333,1.13760452530858,1.59488691712409,0.0785382962214973,2
0,-1,13,0.00579056750225154,0.34700069164778,3.24262057079707,0.038176375307721,0.6875,0.347706478999114,0.493475462541621,0.5,0.3625,0.997970163359146,6.57098643587284,0.0763527506154421,1.89655172413793
0,-1,14,0.00224854564020063,0.317584425918591,4.29908154600973,1.23549218596006e-14,0.45,0.109157018757879,3.15790670189436,0.5,0.125,2.90942744252685,1.36137066476055,2.47098437192012e-14,3.6
0,-1,15,0.0298604466479535,0.345060821869231,5.41546634744881,0.00279306083021207,0.520833333333333,0.317180401720527,2.00286047537641,0.5,0.260416666666667,1.0879008286687,2.70386600266353,0.00558612166042414,2
1,-1,16,0.0351663599355419,0.361955472874739,4.08346171011409,0.0170715549156263,0.425,0.278622714755396,1.37964151710411,0.5,0.1875,1.29908817087114,2.95979909236519,0.0341431098312526,2.26666666666667
1,-1,17,0.00739931426489165,0.35433102007666,7.28403306939501,0.00263769164642524,0.84375,0.241705073746485,1.91661324712147,0.5,0.1875,1.4659643448292,3.80047100286654,0.00527538329285048,4.5
1,-1,18,0.0278275312746977,0.357407214070583,3.01168195696585,1.3802706293864e-15,0.3875,0.138163197403179,0.97881802241496,0.5,0.075,2.58684816787803,3.07685584858293,2.76054125877281e-15,5.16666666666667
1,-1,19,0.0235243221591828,0.386562531608219,3.69194431347574,5.80090998317559e-15,0.5,0.195275324913011,1.21891866271551,0.5,0.0875,1.97957694747363,3.02886847695876,1.16018199663512e-14,5.71428571428571
1,-1,20,0.00640131310534292,0.345437865034673,57.3306229546225,0.00249999062475702,0.7625,0.548452700394118,0.936736795593959,0.5,0.2625,0.629840758895783,61.2024884944023,0.00499998124951405,2.90476190476191
1,-1,21,0.0134831151983506,0.380893856592325,3.44857763915795,1.59132469475141e-14,0.208333333333333,0.10618019602542,0.783771205746588,0.5,0.239583333333333,3.58724009608286,4.39998001186198,3.18264938950281e-14,0.869565217391304
1,-1,22,0.0576209132667839,0.363663696821166,4.20310162947967,0.0313061236453833,0.3,0.238488892812319,1.57821786301315,0.5,0.1125,1.52486638909157,2.66319481484963,0.0626122472907666,2.66666666666667
1,-1,23,0.0145074216781992,0.242218862238301,46.6329937924027,0.0187500517699438,0.6375,0.270461829171555,0.572257983950908,0.5,0.2875,0.895575035413447,81.4894594749826,0.0375001035398876,2.21739130434783
