site,att,subjectID,contrast,pCorrect,pSeen
0,-1,1,1,0.53125,0
0,-1,1,2,0.5,0
0,-1,1,3,0.572916666666667,0
0,-1,1,4,0.614583333333333,0.032258064516129
0,-1,1,5,0.666666666666667,0.24
0,-1,1,6,0.645833333333333,0.608695652173913
0,-1,1,7,0.729166666666667,0.821428571428571
0,-1,2,1,0.55,0.409090909090909
0,-1,2,2,0.55,0.380952380952381
0,-1,2,3,0.575,0.5
0,-1,2,4,0.6375,0.333333333333333
0,-1,2,5,0.6625,0.378378378378378
0,-1,2,6,0.6625,0.414634146341463
0,-1,2,7,0.65,0.5625
0,-1,3,1,0.525,0
0,-1,3,2,0.475,0.5
0,-1,3,3,0.45,0.142857142857143
0,-1,3,4,0.525,0.285714285714286
0,-1,3,5,0.5625,0.5
0,-1,3,6,0.675,0.666666666666667
0,-1,3,7,0.7375,0.909090909090909
0,-1,4,1,0.479166666666667,0.0357142857142857
0,-1,4,2,0.5625,0.142857142857143
0,-1,4,3,0.53125,0.0655737704918033
0,-1,4,4,0.625,0.0634920634920635
0,-1,4,5,0.708333333333333,0.0857142857142857
0,-1,4,6,0.6875,0.1875
0,-1,4,7,0.75,0.646341463414634
0,-1,5,1,0.489583333333333,0
0,-1,5,2,0.677083333333333,0
0,-1,5,3,0.572916666666667,0
0,-1,5,4,0.666666666666667,0
0,-1,5,5,0.71875,0.37037037037037
0,-1,5,6,0.739583333333333,0.862068965517241
0,-1,5,7,0.760416666666667,1
0,-1,6,1,0.46875,0.461538461538462
0,-1,6,2,0.5,0.3
0,-1,6,3,0.520833333333333,0.346153846153846
0,-1,6,4,0.59375,0.37037037037037
0,-1,6,5,0.666666666666667,0.627906976744186
0,-1,6,6,0.708333333333333,0.782608695652174
0,-1,6,7,0.6875,0.934426229508197
0,-1,7,1,0.614583333333333,0.10958904109589
0,-1,7,2,0.510416666666667,0.186666666666667
0,-1,7,3,0.541666666666667,0.211764705882353
0,-1,7,4,0.71875,0.397727272727273
0,-1,7,5,0.854166666666667,0.759036144578313
0,-1,7,6,0.854166666666667,0.898876404494382
0,-1,7,7,0.875,0.988636363636364
0,-1,8,1,0.55,0.0909090909090909
0,-1,8,2,0.675,0.0526315789473684
0,-1,8,3,0.6125,0.0909090909090909
0,-1,8,4,0.725,0.272727272727273
0,-1,8,5,0.6625,0.76
0,-1,8,6,0.7875,0.954545454545455
0,-1,8,7,0.775,0.985507246376812
0,-1,9,1,0.510416666666667,0.583333333333333
0,-1,9,2,0.479166666666667,0.416666666666667
0,-1,9,3,0.59375,0.470588235294118
0,-1,9,4,0.458333333333333,0.444444444444444
0,-1,9,5,0.552083333333333,0.294117647058824
0,-1,9,6,0.625,0.655172413793103
0,-1,9,7,0.614583333333333,0.619047619047619
0,-1,10,1,0.4875,0.0476190476190476
0,-1,10,2,0.5875,0
0,-1,10,3,0.4875,0.0588235294117647
0,-1,10,4,0.6,0.1
0,-1,10,5,0.625,0.0952380952380952
0,-1,10,6,0.6,0.321428571428571
0,-1,10,7,0.675,0.384615384615385
0,-1,11,1,0.4,0
0,-1,11,2,0.510416666666667,0.111111111111111
0,-1,11,3,0.568421052631579,0.176470588235294
0,-1,11,4,0.75,0.214285714285714
0,-1,11,5,0.75,0.327272727272727
0,-1,11,6,0.84375,0.837837837837838
0,-1,11,7,0.927083333333333,0.965116279069767
0,-1,12,1,0.520833333333333,0.0983606557377049
0,-1,12,2,0.59375,0.0526315789473684
0,-1,12,3,0.40625,0.0461538461538462
0,-1,12,4,0.583333333333333,0.0967741935483871
0,-1,12,5,0.65625,0.222222222222222
0,-1,12,6,0.71875,0.432098765432099
0,-1,12,7,0.854166666666667,0.790697674418605
0,-1,13,1,0.5625,0.210526315789474
0,-1,13,2,0.575,0.2
0,-1,13,3,0.5125,0.111111111111111
0,-1,13,4,0.525,0.130434782608696
0,-1,13,5,0.6375,0.333333333333333
0,-1,13,6,0.575,0.384615384615385
0,-1,13,7,0.6375,0.595238095238095
0,-1,14,1,0.575,0
0,-1,14,2,0.55,0
0,-1,14,3,0.75,0
0,-1,14,4,0.85,0.0555555555555556
0,-1,14,5,0.9375,0.333333333333333
0,-1,14,6,0.9,0.75609756097561
0,-1,14,7,0.875,0.956521739130435
0,-1,15,1,0.520833333333333,0.0769230769230769
0,-1,15,2,0.489583333333333,0
0,-1,15,3,0.541666666666667,0
0,-1,15,4,0.552083333333333,0
0,-1,15,5,0.59375,0.205882352941176
0,-1,15,6,0.666666666666667,0.613636363636364
0,-1,15,7,0.739583333333333,0.867924528301887
