site,att,subjectID,lineLength,pCorrect,pStronger
0,-1,1,1,0.510416666666667,0.208333333333333
0,-1,1,2,0.604166666666667,0.302083333333333
0,-1,1,3,0.71875,0.416666666666667
0,-1,1,4,0.635416666666667,0.447916666666667
0,-1,1,5,0.739583333333333,0.572916666666667
0,-1,1,6,0.802083333333333,0.625
0,-1,1,7,0.739583333333333,0.677083333333333
0,-1,2,1,0.625,0.322916666666667
0,-1,2,2,0.604166666666667,0.40625
0,-1,2,3,0.71875,0.40625
0,-1,2,4,0.614583333333333,0.447916666666667
0,-1,2,5,0.729166666666667,0.645833333333333
0,-1,2,6,0.729166666666667,0.53125
0,-1,2,7,0.75,0.635416666666667
0,-1,3,1,0.552083333333333,0.302083333333333
0,-1,3,2,0.614583333333333,0.447916666666667
0,-1,3,3,0.520833333333333,0.395833333333333
0,-1,3,4,0.5625,0.375
0,-1,3,5,0.65625,0.520833333333333
0,-1,3,6,0.631578947368421,0.4
0,-1,3,7,0.645833333333333,0.510416666666667
0,-1,4,1,0.489583333333333,0.302083333333333
0,-1,4,2,0.541666666666667,0.34375
0,-1,4,3,0.5625,0.385416666666667
0,-1,4,4,0.46875,0.385416666666667
0,-1,4,5,0.5625,0.385416666666667
0,-1,4,6,0.572916666666667,0.458333333333333
0,-1,4,7,0.625,0.541666666666667
0,-1,5,1,0.5,0.208333333333333
0,-1,5,2,0.541666666666667,0.15625
0,-1,5,3,0.583333333333333,0.239583333333333
0,-1,5,4,0.604166666666667,0.364583333333333
0,-1,5,5,0.760416666666667,0.604166666666667
0,-1,5,6,0.6875,0.708333333333333
0,-1,5,7,0.71875,0.760416666666667
0,-1,6,1,0.635416666666667,0.197916666666667
0,-1,6,2,0.677083333333333,0.15625
0,-1,6,3,0.6875,0.197916666666667
0,-1,6,4,0.729166666666667,0.21875
0,-1,6,5,0.729166666666667,0.229166666666667
0,-1,6,6,0.78125,0.239583333333333
0,-1,6,7,0.791666666666667,0.3125
0,-1,7,1,0.510416666666667,0.75
0,-1,7,2,0.53125,0.78125
0,-1,7,3,0.520833333333333,0.84375
0,-1,7,4,0.572916666666667,0.71875
0,-1,7,5,0.552083333333333,0.833333333333333
0,-1,7,6,0.5625,0.75
0,-1,7,7,0.604166666666667,0.729166666666667
0,-1,8,1,0.541666666666667,0.28125
0,-1,8,2,0.552083333333333,0.208333333333333
0,-1,8,3,0.541666666666667,0.34375
0,-1,8,4,0.541666666666667,0.447916666666667
0,-1,8,5,0.6875,0.677083333333333
0,-1,8,6,0.59375,0.697916666666667
0,-1,8,7,0.770833333333333,0.875
0,-1,9,1,0.510416666666667,0.385416666666667
0,-1,9,2,0.53125,0.5625
0,-1,9,3,0.583333333333333,0.677083333333333
0,-1,9,4,0.515789473684211,0.663157894736842
0,-1,9,5,0.635416666666667,0.854166666666667
0,-1,9,6,0.6,0.905263157894737
0,-1,9,7,0.5625,0.927083333333333
0,-1,10,1,0.6125,0.05
0,-1,10,2,0.65,0.0625
0,-1,10,3,0.69620253164557,0.10126582278481
0,-1,10,4,0.675,0.1375
0,-1,10,5,0.75,0.35
0,-1,10,6,0.8,0.625
0,-1,10,7,0.8625,0.675
0,-1,11,1,0.541666666666667,0.385416666666667
0,-1,11,2,0.541666666666667,0.416666666666667
0,-1,11,3,0.447916666666667,0.385416666666667
0,-1,11,4,0.510416666666667,0.4375
0,-1,11,5,0.631578947368421,0.621052631578947
0,-1,11,6,0.583333333333333,0.625
0,-1,11,7,0.5625,0.739583333333333
0,-1,12,1,0.541666666666667,0.6875
0,-1,12,2,0.59375,0.708333333333333
0,-1,12,3,0.614583333333333,0.71875
0,-1,12,4,0.552083333333333,0.75
0,-1,12,5,0.645833333333333,0.708333333333333
0,-1,12,6,0.65625,0.71875
0,-1,12,7,0.625,0.78125
0,-1,13,1,0.552083333333333,0.260416666666667
0,-1,13,2,0.677083333333333,0.40625
0,-1,13,3,0.6875,0.541666666666667
0,-1,13,4,0.84375,0.635416666666667
0,-1,13,5,0.78125,0.760416666666667
0,-1,13,6,0.864583333333333,0.875
0,-1,13,7,0.885416666666667,0.895833333333333
0,-1,14,1,0.5625,0.291666666666667
0,-1,14,2,0.583333333333333,0.416666666666667
0,-1,14,3,0.75,0.625
0,-1,14,4,0.635416666666667,0.583333333333333
0,-1,14,5,0.729166666666667,0.760416666666667
0,-1,14,6,0.677083333333333,0.875
0,-1,14,7,0.770833333333333,0.895833333333333
1,-1,15,1,0.53125,0.354166666666667
1,-1,15,2,0.6875,0.489583333333333
1,-1,15,3,0.59375,0.5
1,-1,15,4,0.614583333333333,0.520833333333333
1,-1,15,5,0.6875,0.541666666666667
1,-1,15,6,0.791666666666667,0.6875
1,-1,15,7,0.71875,0.677083333333333
1,-1,16,1,0.380952380952381,0.555555555555556
1,-1,16,2,0.5625,0.484375
1,-1,16,3,0.53125,0.5625
1,-1,16,4,0.484375,0.5625
1,-1,16,5,0.40625,0.625
1,-1,16,6,0.645161290322581,0.661290322580645
1,-1,16,7,0.46875,0.765625
1,-1,17,1,0.572916666666667,0.145833333333333
