site,att,subjectID,AUC,relAUC,alphaC,betaC,gammaC,lambdaC,alphaA,betaA,gammaA,lambdaA,alphaR,betaR,gammaR,lambdaR
0,-1,1,0.0732040833127702,0.305547478175041,0.397469648741482,1.01402169922994,4.83643227791144e-12,0.322916666666667,0.328603508974265,2.02978735827251,0.5,0.260416666666667,1.2095721375045,0.499570408248545,9.67286455582287e-12,1.24
0,-1,2,0.101624621844385,0.41062084789236,0.506878576791052,2.88124980198309,0.336809896553923,0.364583333333333,0.341150218811956,0.702067809873654,0.5,0.25,1.48579291127598,4.1039480253362,0.673619793107846,1.45833333333333
0,-1,3,0.0569739124791007,0.390946223558848,5.21850960713903,25.0905369870982,0.406956517707862,0.489583333333333,0.445319176439191,1.04104932250747,0.5,0.354166666666667,11.7185827227712,24.1011990927244,0.813913035415724,1.38235294117647
0,-1,4,0.0390660395837731,0.371802869506576,0.245701300125404,0.313706874897134,8.60903684843041e-10,0.458333333333333,1.66189569415206,1.02884262130264,0.5,0.375,0.14784399585966,0.304912401957008,1.72180736968608e-09,1.22222222222222
0,-1,5,0.0662176002227744,0.302709029589826,0.669196860341136,1.81150556314935,0.113427092696502,0.239583333333333,0.447203999930413,2.86570056849027,0.5,0.28125,1.49640177736618,0.632133581249803,0.226854185393004,0.851851851851852
0,-1,6,0.101132966951714,0.350576495044938,0.05,3.16227766016838,0.5,0.6875,0.295140664042959,0.650089232622156,0.5,0.208333333333333,0.16941074576129,4.86437476808104,1,3.3
0,-1,7,0.0408716418720214,0.653946269952343,0.05,3.16227766016838,0.5,0.270833333333333,1.34530853493063,0.620628205692635,0.5,0.395833333333333,0.0371661954873259,5.09528511782542,1,0.684210526315789
0,-1,8,0.0801784685274239,0.465797086821852,0.684782306932865,0.839331702968622,1.17429700726371e-11,0.125,2.95366759657175,0.60128130725507,0.5,0.229166666666667,0.231841358089067,1.39590519918253,2.34859401452742e-11,0.545454545454546
0,-1,9,0.0287867265311842,0.460587624498947,0.287049305243935,0.923914797889475,1.69526686070357e-11,0.0729166666666666,0.246986867292816,7.32941215919603,0.5,0.4375,1.16220472930499,0.126055784259623,3.39053372140715e-11,0.166666666666667
0,-1,10,0.0674777864626447,0.198758510816837,0.959529837227882,1.93579476618619,0.0241777443128341,0.325,0.641170640887334,0.65731070412986,0.5,0.1375,1.4965280317576,2.9450224285466,0.0483554886256681,2.36363636363636
0,-1,11,0.0268331365005295,0.429330184008471,0.779779600676157,0.824118996443022,0.241286854859795,0.260416666666667,0.420918359518599,81.3168395008725,0.5,0.4375,1.85256732818208,0.01013466585152,0.482573709719589,0.595238095238095
0,-1,12,0.0822162671598185,0.657730448142968,8.50512421286363e-07,0.0602263659675153,0.183341798347932,0.21875,0.271276861178416,1.11459182470906,0.5,0.375,3.13521919116791e-06,0.0540344587429895,0.366683596695864,0.583333333333333
0,-1,13,0.175596074404042,0.455915921570475,0.384079965134368,1.08076632889633,3.89195324352696e-12,0.104166666666667,0.425511635579966,1.01617028505243,0.5,0.114583333333333,0.902630934194954,1.06356812907649,7.78390648705392e-12,0.909090909090909
0,-1,14,0.100234283217906,0.406364722146204,0.371227139251106,0.96854660309437,1.57860927888566e-12,0.104166666666667,0.561931862311071,0.526710614943089,0.5,0.229166666666667,0.660626606443619,1.83885909191145,3.15721855777131e-12,0.454545454545454
1,-1,15,0.0902938136249319,0.412797209710843,0.219394698219434,0.59088345861716,2.50118154223751e-11,0.322916666666667,0.392426139426686,1.11667752732087,0.5,0.28125,0.559072590169345,0.529144219490835,5.00236308447503e-11,1.14814814814815
1,-1,16,0,0,1.33081450330921,0.764475875144837,0.463823947851084,0.234375,13.369921875,16.07421875,0.5,0.53125,0.0995379416388105,0.0475591309932146,0.927647895702168,0.441176470588235
1,-1,17,0.103421922697171,0.400198827643266,0.50345882478067,1.32628882073407,6.17097102776408e-13,0.166666666666667,0.89846455148703,0.643270416274254,0.5,0.208333333333333,0.560354689506009,2.06179048061277,1.23419420555282e-12,0.8
1,-1,18,0.119669364788426,0.598346823942128,0.134607057228603,0.326414676031675,1.46828365171402e-10,0.1125,0.22675920817791,5.63559404339795,0.5,0.3,0.593612309331199,0.0579201896939448,2.93656730342805e-10,0.375
1,-1,19,0.0917349229655111,0.216708085925741,0.968361174757615,1.78376469285878,1.55325173622314e-13,0.125,0.481745205896871,0.934863499194025,0.5,0.075,2.01011066203514,1.90804828126953,3.10650347244628e-13,1.66666666666667
1,-1,20,0.168731848493134,0.412085099657829,0.232292172427556,1.83084112233628,0.125478073879366,0.025,0.193524322375787,0.436533393114351,0.5,0.075,1.20032546594577,4.1940459795631,0.250956147758732,0.333333333333334
1,-1,21,0.145696856281406,0.34676452146864,0.735133245130578,1.84799937759267,3.20410876368392e-10,0.145833333333333,0.692407592924145,0.799278067384434,0.5,0.0625,1.06170592674467,2.31208568457294,6.40821752736784e-10,2.33333333333333
1,-1,22,0.0512702053390087,0.145863513962267,1.11229218252543,1.77035998581286,9.2208216619307e-13,0.260416666666667,0.419634424290252,0.806587499369248,0.5,0.145833333333333,2.65062187023074,2.19487654742639,1.84416433238614e-12,1.78571428571428
1,-1,23,0.0401856587063138,0.192891296381924,1.1327604129879,1.7400085463299,0.0695160024872199,0.09375,0.452041767722962,1.40099194020227,0.5,0.291666666666667,2.50587554927474,1.24198326656946,0.13903200497444,0.321428571428571
1,-1,24,0.038004132764178,0.0868666496667454,1.23844471085127,1.52371258601813,0.0343632865938659,0.175,0.203005439051491,0.984595310736015,0.5,0.0625,6.10054940713752,1.54755214594624,0.0687265731877319,2.8
