att,subjectID,AUC,alphaC,betaC,gammaC,lambdaC,alphaA,betaA,gammaA,lambdaA,alphaR,betaR,gammaR,lambdaR
-1,1,0.118166425296747,0.198445195467576,2.22728796420557,0,0.13527500251432,0.175575890009399,3.01612412532744,0.5,0.188127520574509,1.13025310853872,0.73846031252569,0,0.7190601465496
-1,2,0.0464124597129354,0.262836280144297,1.77017007386709,0,0.30934864212145,0.123874425496858,4.49048155512269,0.5,0.262541222420619,2.12179615840853,0.394204953775548,0,1.17828598217556
-1,3,0.277416434762743,0.0857305454778995,2.46871337891652,0,0.0951731186070459,0.117556166239738,4.09372771121069,0.5,0.0727028471236404,0.72927306342285,0.603047772854052,0,1.30907003470156
-1,4,0.0166803562349392,0.486957591886483,3.57881674739014,0,0.751029744826499,0.396145985599423,4.26625315023646,0.5,0.271294142900857,1.22923772949422,0.838866476358015,0,2.76832273928213
-1,5,0.0806806241765154,0.218013950332598,3.59817710237363,0,0.417831282362912,0.183607015663457,3.50957232337555,0.5,0.0812424119175544,1.18739444429622,1.02524660295727,0,5.14301917558689
-1,6,0.125925360930278,0.308322203486146,2.1266131626301,0,0.148139072975757,0.260006511092175,2.40726370788015,0.5,0.0388429567005039,1.18582493257964,0.883415122185681,0,3.81379497235429
-1,7,0.0277602653523356,0.207805389089534,6.51143159364011,0,0.749176980071037,0.179393333200492,2.66164978082944,0.5,0.0639511600186153,1.1583785494263,2.44638931858683,0,11.7148301899913
-1,8,0.0964010458703037,0.17578662940894,3.49752436393609,0,0.251162524480521,0.13922927869653,6.39625106345162,0.5,0.0961901954672036,1.26256941826218,0.546808486602574,0,2.61110317180045
-1,9,0.11789605175188,0.279137942812104,1.39330663961444,0,0.559510353401537,0.622326727920621,1.80283852164983,0.5,0.093079524950735,0.44853921628079,0.772840508388617,0,6.01110022529309
-1,10,0.160376870185087,0.233027791047764,3.30411502453654,0,0.25524097924022,0.256449141982758,2.16184152271586,0.5,0.0837267719507113,0.908670581800703,1.52837985107515,0,3.04849898417768
-1,11,0.346551700891431,0.125099055444264,4.07063659462465,0,0.0299585397415868,0.172738336738538,3.58999389936634,0.5,0.0226672445252503,0.724211300202673,1.13388398663941,0,1.32166658846488
-1,12,0.0866256597566359,0.19273581227731,4.39440346065248,0,0.421827795888765,0.169367488604241,2.73029999055451,0.5,0.0605262919370991,1.13797408148192,1.60949473532394,0,6.96933154813353
-1,13,0.205046823545654,0.217887768611987,3.93854781277336,0,0.0880603582838698,0.222706588517219,5.7272078626916,0.5,0.0883364874870634,0.978362472626807,0.687690739920582,0,0.996874120637476
